name,price,mileage,fuel,transmission,seats,type,image
Hyundai Creta,1100000,17,Petrol,Manual,5,SUV,https://source.unsplash.com/400x300/?creta
Tata Nexon,900000,18,Petrol,Manual,5,SUV,https://source.unsplash.com/400x300/?nexon
Honda City,1200000,17,Petrol,Automatic,5,Sedan,https://source.unsplash.com/400x300/?honda-city
Kia Seltos,1250000,16,Diesel,Manual,5,SUV,https://source.unsplash.com/400x300/?seltos
Swift,600000,22,Petrol,Manual,5,Hatchback,https://source.unsplash.com/400x300/?swift
XUV700,1800000,15,Diesel,Automatic,7,SUV,https://source.unsplash.com/400x300/?xuv700
Maruti Baleno,750000,22,Petrol,Manual,5,Hatchback,https://source.unsplash.com/400x300/?baleno
Maruti Brezza,950000,19,Petrol,Manual,5,SUV,https://source.unsplash.com/400x300/?brezza
Hyundai Venue,1000000,18,Petrol,Manual,5,SUV,https://source.unsplash.com/400x300/?venue
Hyundai i20,800000,20,Petrol,Manual,5,Hatchback,https://source.unsplash.com/400x300/?i20
Tata Harrier,2200000,16,Diesel,Automatic,5,SUV,https://source.unsplash.com/400x300/?harrier
MG Hector,2100000,15,Petrol,Automatic,5,SUV,https://source.unsplash.com/400x300/?hector
Skoda Slavia,1500000,18,Petrol,Manual,5,Sedan,https://source.unsplash.com/400x300/?slavia
Skoda Octavia,3000000,15,Petrol,Automatic,5,Sedan,https://source.unsplash.com/400x300/?octavia
Volkswagen Virtus,1600000,17,Petrol,Automatic,5,Sedan,https://source.unsplash.com/400x300/?virtus
Toyota Fortuner,4500000,12,Diesel,Automatic,7,SUV,https://source.unsplash.com/400x300/?fortuner
Mahindra Thar,1600000,14,Diesel,Manual,4,SUV,https://source.unsplash.com/400x300/?thar
Mahindra Scorpio N,1900000,15,Diesel,Manual,7,SUV,https://source.unsplash.com/400x300/?scorpio
Jeep Compass,2500000,14,Diesel,Automatic,5,SUV,https://source.unsplash.com/400x300/?jeep-compass
Toyota Innova,2800000,16,Diesel,Manual,7,MUV,https://source.unsplash.com/400x300/?innova
BMW X1,4500000,15,Diesel,Automatic,5,Luxury,https://source.unsplash.com/400x300/?bmw-x1
BMW X5,9000000,12,Diesel,Automatic,5,Luxury,https://source.unsplash.com/400x300/?bmw-x5
BMW M4,12000000,10,Petrol,Automatic,4,Supercar,https://source.unsplash.com/400x300/?bmw-m4
Audi A4,5500000,16,Diesel,Automatic,5,Luxury,https://source.unsplash.com/400x300/?audi-a4
Audi A6,6500000,14,Diesel,Automatic,5,Luxury,https://source.unsplash.com/400x300/?audi-a6
Audi R8,25000000,8,Petrol,Automatic,2,Supercar,https://source.unsplash.com/400x300/?audi-r8
Mercedes C-Class,6000000,15,Petrol,Automatic,5,Luxury,https://source.unsplash.com/400x300/?mercedes-c-class
Mercedes E-Class,8000000,14,Diesel,Automatic,5,Luxury,https://source.unsplash.com/400x300/?mercedes-e-class
Mercedes G-Wagon,25000000,10,Petrol,Automatic,5,SUV,https://source.unsplash.com/400x300/?g-wagon
Lamborghini Aventador,50000000,6,Petrol,Automatic,2,Supercar,https://source.unsplash.com/400x300/?lamborghini
Lamborghini Huracan,45000000,7,Petrol,Automatic,2,Supercar,https://source.unsplash.com/400x300/?huracan
Ferrari F8 Tributo,40000000,7,Petrol,Automatic,2,Supercar,https://source.unsplash.com/400x300/?ferrari-f8
Ferrari Roma,42000000,8,Petrol,Automatic,2,Supercar,https://source.unsplash.com/400x300/?ferrari
